Date,Open,High,Low,Close,Adj Close,Volume
2018-03-28,38.980000,40.009998,38.259998,39.540001,35.102661,75500
2018-03-29,39.759998,41.220001,39.680000,40.980000,36.381065,242300
2018-04-02,40.599998,41.080002,39.810001,40.240002,35.724102,87900
2018-04-03,40.560001,41.900002,40.080002,41.669998,36.993629,142800
2018-04-04,41.230000,43.310001,40.900002,42.860001,38.050076,123800
2018-04-05,43.009998,43.509998,42.150002,42.900002,38.085598,99300
2018-04-06,42.709999,43.560001,42.709999,43.389999,38.520592,71000
2018-04-09,43.639999,43.990002,42.849998,42.919998,38.103344,68500
2018-04-10,43.279999,43.560001,42.669998,43.040001,38.209877,43600
2018-04-11,42.959999,43.720001,42.959999,43.240002,38.387440,50400
2018-04-12,43.349998,43.980000,42.770000,43.779999,38.866829,56700
2018-04-13,43.889999,43.889999,42.660000,42.930000,38.112232,58900
2018-04-16,43.209999,44.509998,42.980000,44.009998,39.071022,70100
2018-04-17,44.290001,44.560001,43.910000,44.060001,39.115425,45300
2018-04-18,44.299999,44.930000,44.090000,44.150002,39.195316,50500
2018-04-19,44.139999,44.680000,42.650002,44.459999,39.470524,65900
2018-04-20,44.360001,44.880001,43.939999,44.389999,39.408386,56100
2018-04-23,44.509998,44.810001,43.860001,44.810001,39.781250,46600
2018-04-24,44.830002,45.950001,44.560001,45.910000,40.757805,86800
2018-04-25,45.799999,46.299999,45.779999,46.020000,40.855461,82900
2018-04-26,46.220001,46.810001,45.770000,46.299999,41.104027,89500
2018-04-27,46.450001,46.590000,45.660000,46.009998,40.846565,84400
2018-04-30,46.230000,46.639999,45.500000,46.020000,40.855461,68300
2018-05-01,45.860001,46.090000,45.150002,45.889999,40.740040,60000
2018-05-02,45.790001,46.400002,45.110001,46.160000,40.979744,72300
2018-05-03,45.950001,45.950001,45.090000,45.290001,40.207382,84900
2018-05-04,44.900002,45.900002,44.799999,45.380001,40.555920,55500
2018-05-07,45.470001,45.720001,44.919998,45.049999,40.260994,45300
2018-05-08,44.910000,46.169998,43.680000,45.599998,40.752529,142200
2018-05-09,45.580002,48.360001,45.439999,48.029999,42.924217,127800
2018-05-10,48.049999,48.810001,47.400002,47.549999,42.495232,76900
2018-05-11,47.529999,47.700001,46.610001,46.750000,41.780285,77100
2018-05-14,46.740002,49.610001,46.740002,49.369999,44.121769,170800
2018-05-15,49.110001,50.450001,49.040001,50.330002,44.979706,132300
2018-05-16,50.299999,51.139999,50.160000,51.070000,45.641045,97200
2018-05-17,51.070000,52.599998,51.000000,52.480000,46.901150,176300
2018-05-18,52.700001,52.700001,51.700001,52.049999,46.516865,71600
2018-05-21,52.299999,52.660000,51.639999,52.340000,46.776051,90400
2018-05-22,52.340000,52.759998,51.720001,51.930000,46.409630,86000
2018-05-23,51.880001,52.860001,51.490002,52.619999,47.026276,100600
2018-05-24,52.650002,53.490002,52.630001,52.810001,47.196075,165900
2018-05-25,52.799999,53.560001,52.400002,53.509998,47.821667,114300
2018-05-29,53.470001,53.549999,52.799999,53.000000,47.365879,152600
2018-05-30,53.450001,54.939999,53.290001,54.799999,48.974529,134900
2018-05-31,54.669998,54.790001,53.959999,54.529999,48.733231,93300
2018-06-01,54.689999,55.320000,54.380001,55.200001,49.332008,85000
2018-06-04,55.570000,57.820000,55.349998,56.709999,50.681496,200800
2018-06-05,56.560001,56.650002,54.110001,54.860001,49.028160,139500
2018-06-06,54.910000,54.910000,53.410000,53.730000,48.018280,149000
2018-06-07,53.869999,54.669998,53.450001,54.310001,48.536617,120400
2018-06-08,54.250000,54.560001,53.610001,54.000000,48.259579,81200
2018-06-11,54.110001,54.720001,53.930000,54.310001,48.536617,100400
2018-06-12,54.529999,54.549999,52.410000,52.770000,47.160332,320700
2018-06-13,52.669998,53.740002,52.669998,52.910000,47.285458,173300
2018-06-14,53.080002,53.680000,52.970001,53.099998,47.455246,186400
2018-06-15,53.070000,54.279999,52.709999,53.919998,48.188080,328800
2018-06-18,53.779999,54.820000,53.759998,54.130001,48.375763,176200
2018-06-19,54.000000,54.799999,53.450001,54.209999,48.447250,184400
2018-06-20,54.230000,54.919998,54.000000,54.380001,48.599186,187200
2018-06-21,54.660000,56.250000,54.599998,55.160000,49.296261,139600
2018-06-22,55.369999,56.730000,55.369999,56.660000,50.636814,193800
2018-06-25,56.500000,57.709999,55.939999,56.169998,50.198898,236200
2018-06-26,56.029999,56.580002,55.360001,55.470001,49.573311,200900
2018-06-27,55.369999,55.580002,54.349998,54.389999,48.608128,146300
2018-06-28,54.169998,54.599998,53.630001,54.130001,48.375763,115700
2018-06-29,54.310001,54.480000,53.099998,53.340000,47.669746,126500
2018-07-02,53.189999,53.599998,52.810001,53.599998,47.902103,156300
2018-07-03,53.900002,54.040001,53.570000,53.880001,48.152332,64700
2018-07-05,54.099998,54.250000,53.180000,54.169998,48.411503,98400
2018-07-06,54.090000,55.040001,53.369999,54.209999,48.447250,95900
